date,verse_url,reference
2014-06-08T23:04:10+00:00,1/DEU.16.19,Deuteronomy 16:19
2014-06-08T23:11:50+00:00,1/DEU.18.10,Deuteronomy 18:10
2014-06-08T23:40:40+00:00,1/DEU.21.17,Deuteronomy 21:17
2014-06-08T23:57:54+00:00,1/DEU.23.7,Deuteronomy 23:7
2014-06-09T05:35:17+00:00,1/DEU.29.29,Deuteronomy 29:29
2014-06-09T05:44:41+00:00,1/DEU.32.6,Deuteronomy 32:6
2014-06-10T07:02:16+00:00,1/JOS.7.21,Joshua 7:21
2014-06-28T20:01:10.775686+00:00,1/JOS.8.25,Joshua 8:25
2014-06-28T20:31:52.190124+00:00,1/JOS.10.14,Joshua 10:14
2014-06-28T20:45:11.623466+00:00,1/JOS.12.24,Joshua 12:24
2014-06-28T20:46:50.990115+00:00,1/JOS.13.13,Joshua 13:13
2014-06-28T20:51:54.056724+00:00,1/JOS.14.14,Joshua 14:14
2014-06-29T17:22:08.654000+00:00,1/JOS.19.9,Joshua 19:9
2014-06-29T17:49:26.279000+00:00,1/JOS.22.11,Joshua 22:11
2014-07-08T18:13:31.574000+00:00,1/JHN.5.22,John 5:22
2014-07-08T18:14:49.530000+00:00,1/JHN.5.25,John 5:25
2014-07-08T18:19:06.367000+00:00,1/JHN.5.39,John 5:39
2014-07-08T18:20:04.050000+00:00,1/JHN.5.45,John 5:45
2014-07-09T18:12:51.059000+00:00,1/JHN.7.34,John 7:34
2014-07-16T08:15:07.039496+00:00,1/JHN.16.8,John 16:8
2014-07-20T06:58:23.834000+00:00,1/JOB.6.14,Job 6:14
2014-07-20T07:00:10.496000+00:00,1/JOB.6.30,Job 6:30
2014-07-20T07:27:14.920000+00:00,1/JOB.17.10,Job 17:10
2014-07-20T07:30:07.131000+00:00,1/JOB.19.3,Job 19:3
2014-07-20T07:34:34.002000+00:00,1/JOB.21.3,Job 21:3
2014-07-20T08:03:03.824000+00:00,1/JOB.26.2,Job 26:2
2014-07-20T15:15:42.953000+00:00,1/JOB.40.15,Job 40:15
2014-07-20T15:18:12.231000+00:00,1/JOB.41.21,Job 41:21
2014-07-20T15:47:17.019000+00:00,1/JHN.19.11,John 19:11
2014-07-20T15:52:06.503000+00:00,1/JHN.19.33,John 19:33
2014-07-20T15:55:09.538000+00:00,1/JHN.20.7,John 20:7
2014-08-01T08:58:05.312000+00:00,1/JDG.10.8,Judges 10:8
2014-09-13T17:45:04.299000+00:00,1/JDG.20.18,Judges 20:18
2014-11-10T03:13:36.379736+00:00,1/1SA.17.51,1 Samuel 17:51
2014-11-10T08:16:36.041000+00:00,1/1SA.17.20,1 Samuel 17:20
2014-11-10T14:23:05.451000+00:00,1/ROM.1.8,Romans 1:8
2014-11-13T07:46:55.226000+00:00,1/ROM.6.11,Romans 6:11
2014-11-18T07:47:18.281000+00:00,1/ROM.13.11,Romans 13:11
2014-11-18T15:48:19.155000+00:00,1/ROM.16.17,Romans 16:17
2015-01-25T18:11:51.176000+00:00,1/MAT.23.24,Matthew 23:24
2015-01-25T18:16:31.614000+00:00,1/MAT.23.14,Matthew 23:14
2014-05-31T16:47:20.860000+00:00,1/EXO.14.14,Exodus 14:14
2014-05-31T16:57:30.675000+00:00,1/EXO.15.20,Exodus 15:20
2014-06-01T01:32:40.801000+00:00,1/EXO.21.2,Exodus 21:2
2014-06-01T01:34:40.650000+00:00,1/EXO.21.20,Exodus 21:20
2014-06-01T01:38:45.227000+00:00,1/EXO.21.26,Exodus 21:26
2014-06-01T01:41:11.816000+00:00,1/EXO.21.32,Exodus 21:32
